LOADCOMMANDID,PARTICIPATION,NOTES,POLICYSUFFIX,PUBLICID,WCOTHERSTATES,VERIFIED,CREATETIME,OTHERINSURANCE,TOTALVEHICLES,OTHERINSINFO,POLICYSOURCE,WCSTATES,INSUREDSICCODE,CURRENCY,RETROACTIVEDATE,EFFECTIVEDATE,UPDATETIME,ID,REPORTINGDATE,EXPIRATIONDATE,ASSIGNEDRISK,FINANCIALINTERESTS,CREATEUSERID,RETURNTOWORKPRGM,BEANVERSION,ARCHIVEPARTITION,RETIRED,VALIDATIONLEVEL,COVERAGEFORM,POLICYTYPE,UPDATEUSERID,UNDERWRITINGCO,CANCELLATIONDATE,STATUS,ORIGEFFECTIVEDATE,ACCOUNTNUMBER,TOTALPROPERTIES,POLICYRATINGPLAN,CUSTOMERSERVICETIER,UNDERWRITINGGROUP,POLICYNUMBER,FOREIGNCOVERAGE,POLICYSYSTEMPERIODID,PRODUCERCODE
,,,,cc:104,,1,2018-09-28 15:50:38.944,0,0,,,,,10001,,2018-06-30 00:00:00.000,2018-09-28 16:07:28.343,104,,2019-06-29 00:00:00.000,,,3,0,2,,0,1,,10007,3,10002,2018-09-28 15:31:00.512,10004,2009-10-19 00:00:00.000,A2,1,,,10003,53-235675,,,1538128860520
,,,,cc:107,,1,2018-09-28 16:13:20.726,0,0,,,,,10001,,2018-04-01 00:00:00.000,2018-09-28 16:30:00.238,107,,2019-04-01 00:00:00.000,,,174,0,2,,0,1,,10007,3,10002,2018-09-28 15:31:00.512,10004,2013-04-02 00:00:00.000,A7,1,,,10003,53-300675,,,1538128860534
,,,,cc:108,,1,2018-09-28 16:35:29.296,0,0,,,,,10001,,2018-04-01 00:00:00.000,2018-09-28 16:42:01.412,108,,2019-04-01 00:00:00.000,,,3,0,2,,0,1,,10007,3,10002,2018-09-28 15:31:00.512,10004,2013-04-02 00:00:00.000,A7,1,,,10003,53-300675,,,1538128860534
,,,,cc:111,,1,2018-09-28 17:14:38.480,0,0,,,,,10001,,2018-04-01 00:00:00.000,2018-09-28 17:17:34.007,111,,2019-04-01 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-28 15:31:00.512,10004,2013-04-02 00:00:00.000,A7,1,,,10003,53-300675,,,1538128860534
,,,,cc:112,,1,2018-09-28 17:18:04.694,0,0,,,,,10001,,2018-04-01 00:00:00.000,2018-09-28 17:19:09.702,112,,2019-04-01 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-28 15:31:00.512,10004,2013-04-02 00:00:00.000,A7,1,,,10003,53-300675,,,1538128860534
,,,,cc:202,,1,2018-09-30 19:40:49.223,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-09-30 19:43:14.956,202,,2019-04-03 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A7,1,,,10003,53-300675,,,1538316443493
,,,,cc:204,,1,2018-09-30 19:47:30.953,0,0,,,,,10001,,2018-07-02 00:00:00.000,2018-09-30 19:49:33.584,204,,2019-07-01 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2009-10-21 00:00:00.000,A2,1,,,10003,53-235675,,,1538316443479
,,,,cc:205,,1,2018-09-30 19:50:13.584,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-09-30 19:51:14.967,205,,2019-04-03 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A7,1,,,10003,53-300675,,,1538316443493
,,,,cc:206,,1,2018-09-30 19:52:10.646,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-10-01 11:47:03.374,206,,2019-04-03 00:00:00.000,,,3,0,2,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A8,1,,,10003,63-300675,,,1538316443494
,,,,cc:209,,1,2018-09-30 20:08:36.646,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-09-30 20:25:50.714,209,,2019-04-03 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A8,1,,,10003,63-300675,,,1538316443494
,,,,cc:211,,1,2018-09-30 21:40:59.821,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-10-01 11:39:23.085,211,,2019-04-03 00:00:00.000,,,3,0,2,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A8,1,,,10003,63-300675,,,1538316443494
,,,,cc:212,,1,2018-09-30 22:09:57.381,0,0,,,,,10001,,2018-07-02 00:00:00.000,2018-09-30 22:10:53.743,212,,2019-07-01 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2009-10-21 00:00:00.000,A2,1,,,10003,53-235675,,,1538316443479
,,,,cc:214,,1,2018-09-30 22:13:32.512,0,0,,,,,10001,,2018-04-03 00:00:00.000,2018-09-30 22:14:09.223,214,,2019-04-03 00:00:00.000,,,3,0,1,,0,1,,10007,3,10002,2018-09-30 19:37:23.470,10004,2013-04-04 00:00:00.000,A8,1,,,10003,63-300675,,,1538316443494
